Object_ID,FIPS_Code,Land_Area,Water_Area,Name,State,County,Total_Housing_Units,Total_Housing_Units_ ME,Occupied_Housing_Units,Occupied_Housing_Units_ME,Vacant_Housing_Units,Vacant_Housing_Units_ME,Vacancy_Rate,Vacancy_Rate_ME,Percent_Owner_Occupied,Percent_Owner_Occupied_ME,Percent_Renter_Occupied,Percent_Renter_Occupied_ME,Total_Occupied_Housing_Units,Percent_Renter_Occupied_ME,Owner_Occupied_Housing_Units,Owner_Occupied_Housing_Units_ME,Renter_Occupied_Housing_Units,Renter_Occupied_Housing_Units_ME,Overall_Homeownership_Rate,Overall_Homeownership_Rate_ME,Overall_Renter_Rate,Overall_Renter_Rate_ME,Median_Contract_Rent,Median_Contract_Rent_ME,Median_Home_Value,Median_Home_Value_ME,Shape_Area,Shape_Length,Lower_Contract_Rent_Quartile,Lower_Contract_Rent_Quartile_ME,Upper_Contract_Rent_Quartile,Upper_Contract_Rent_Quartile_ME,Lower_Owner_Occupied_Home_Value_Quartile,Lower_Owner_Occupied_Home_Value_Quartile_ME,Upper_Owner_Occupied_Home_Value_Quartile,Upper_Owner_Occupied_Home_Value_Quartile_ME
2865,12001000301,2479034,22169,Census Tract 3.01,Florida,Alachua County,2113,278,1816,261,297,158,14.1,7.245238241,22.1,7.193680573,63.8,8.802573719,1816,261,468,164,1348,257,25.8,8.236348171,74.2,9.298610136,745,53,211400,54075,3324151.014,7758.017725,626,53,945,261,154000,144307,277000,26776
2866,12001000302,3819522,14011,Census Tract 3.02,Florida,Alachua County,1393,153,1237,161,156,83,11.2,5.830019901,48.1,9.793038172,40.7,9.638165465,1237,161,670,155,567,148,54.2,10.35918299,45.8,10.37095361,797,50,152200,18707,5096548.818,9975.819742,669,208,895,137,125800,21319,187900,12970
2867,12001000400,6010490,18712,Census Tract 4,Florida,Alachua County,2401,439,2242,440,159,115,6.6,4.634099503,55,14.12285401,38.4,14.83550384,2242,440,1321,238,921,394,58.9,15.6971571,41.1,15.61524599,932,374,161100,23963,8014704.816,11630.95046,,,1168,147,112900,19627,229500,17044
2868,12001000500,3917560,1068,Census Tract 5,Florida,Alachua County,2842,185,2451,258,391,173,13.8,6.021022841,38.1,6.246986352,48.2,7.115983923,2451,258,1082,191,1369,221,44.1,6.255667605,55.9,6.836188715,909,215,251600,44374,5206928.652,10843.9551,779,78,1241,152,170400,60587,371100,56360
2869,12001000600,7590803,103244,Census Tract 6,Florida,Alachua County,2168,281,1912,307,256,94,11.8,4.056690061,34.8,4.428588485,53.4,12.40565638,1912,307,754,137,1158,308,39.4,3.353831177,60.6,12.8423291,634,196,124800,20528,10222815.14,14337.51684,277,145,885,138,85300,14579,187100,14021
2870,12001000700,22450707,456638,Census Tract 7,Florida,Alachua County,2910,298,2512,321,398,180,13.7,6.024912097,56.5,8.532910763,29.8,10.38482789,2512,321,1644,300,868,315,65.4,8.525605922,34.6,11.73668031,651,202,124200,10756,30419489.2,24527.80358,343,204,870,132,94400,15439,159200,16511
2871,12001000806,949560,1453,Census Tract 8.06,Florida,Alachua County,1623,164,1397,182,226,120,13.9,7.258593854,8.2,7.161156985,77.9,8.074902501,1397,182,133,117,1264,183,9.5,8.282738379,90.5,5.713947168,880,71,,,1263251.09,4750.240029,770,16,1193,284,,,2000001,
2872,12001000808,2637624,188599,Census Tract 8.08,Florida,Alachua County,1534,191,1302,175,232,120,15.1,7.592653835,10,2.939535039,74.8,6.694036594,1302,175,154,49,1148,176,11.8,3.411171253,88.2,6.502241808,1020,75,356500,76639,3753183.605,8109.825242,882,71,1225,80,274000,69112,549400,196506
2873,12001000809,1895352,632352,Census Tract 8.09,Florida,Alachua County,994,143,729,146,265,96,26.7,8.86373304,9.1,2.383599859,64.3,11.28113308,729,146,90,27,639,145,12.3,2.757544565,87.7,9.351338506,951,99,137500,15006,3356996.266,8111.83175,798,70,1181,85,99600,25698,167500,41754
2874,12001000901,2210159,311755,Census Tract 9.01,Florida,Alachua County,605,121,350,115,255,80,42.1,10.18777329,1.3,1.965761157,56.5,15.68980785,350,115,8,12,342,117,2.3,3.345305724,97.7,9.309473081,736,29,,,3350161.166,9479.734903,687,31,788,28,,,,
